,songs,artists,lyrics,length
218,Hit the Road Jack,Ray Charles,"hit road, jack, ya come back more, more, more, hit road, jack, ya come back what'd say? hit road, jack, ya come back more, more, more, hit road, jack, ya come back old woman, old woman, treat mean meanest old woman i've ever seen guess say i'll pack thing go (that's right) hit road, jack, ya come back more, more, more, hit road, jack, ya come back what'd say? hit road, jack, ya come back more, more, more, hit road, jack, ya come back now, baby, listen, baby, treat way 'cause i'll back foot day care do, cause understood ain't got money, good well, guess say i'll pack thing go (that's right) hit road, jack, ya come back more, more, more, hit road, jack, ya come back what'd say? hit road, jack, ya come back more, more, more, hit road, jack, ya come back well (don't ya come back more) uh, what'd say? (don't ya come back more) understand (don't ya come back more) can't mean (don't ya come back more) oh, now, baby, please (don't ya come back more) trying me? (don't ya come back more)",1544
219,Sad Movies (Make Me Cry),Sue Thompson,"sa-a-a-d movie always make cry said work went show alone turned light turned projector news world started begin saw darlin' best friend walk though sittin' see sat right front kissed lip almost died middle color cartoon started cry oh-oh-oh sa-a-a-d movie always make cry oh-oh-oh sa-a-a-d movie always make cry got slowly walked home mama saw tear said ""what's wrong?"" keep telling lie said ""sa-a-a-d movie make cry"" oh-oh-oh sa-a-a-d movie always make cry oh-oh-oh sa-a-a-d movie always make cry ooh, ooh, ooh, ooh, ooh ooh, ooh, ooh, ooh sa-a-a-d movie make cry-i-i",836
220,Mother-in-Law,Ernie K-Doe,"(mother law) mother law (mother law) mother law worst person know (mother law, mother law) (mother law, mother law) worry me, she'd leave u alone would happy home sent mother law, mother law satan name they're bout every time open mouth step in, try put could stoop low come home pay asks made think advice constitution would leave would solution come back mother law mother law, ah oh, yeah",622
221,Bristol Stomp,The Dovells,"kid bristol sharp pistol bristol stomp really somethin' join jumpin' bristol stomp whoa, start spinning every friday night dance greatest right well, latest, greatest sight see kid bristol sharp pistol (whoa, oh, oh) bristol stomp (whoa, oh, oh) really somethin' join jumpin' (ah-ah-ah, whoa) bristol stomp whoa, started bristol dee jay hop hollered whistled, never want stop pony twisted rocked daddy g kid bristol sharp pistol bristol stomp (whoa, oh, oh) really somethin' join jumpin' (ah-ah-ah) bristol stomp (duh-duh-doo) got groovy beat make stomp foot come along try gonna feel fine dance fall love see bristol stomp make mine, mine star spinning every friday night dance greatest right latest, greatest sight see kid bristol sharp pistol bristol stomp (whoa, oh, oh) really somethin' join jumpin' bristol stomp started bristol dee jay hop hollered whistled, never want stop pony twisted rocked daddy g kid bristol sharp pistol bristol stomp (whoa) really somethin' join jumpin' bristol stomp kid bristol sharp pistol bristol stomp",1664
222,Travelin' Man,Ricky Nelson,"i'm travelin' man, i've made lot stop world every part heart least one lovely girl i've pretty señorita waiting old mexico ever alaska stop see cute little eskimo oh, sweet fräulein berlin town make heart start yearn china doll old hong kong wait return pretty polynesian baby sea remember night walked sand waikiki held oh tight oh, sweet fräulein berlin town make heart start yearn china doll old hong kong wait return pretty polynesian baby sea remember night walked sand waikiki held oh tight oh, i'm travelin' man yes, i'm travelin' man yes, i'm travelin' man oh, i'm travelin' man",859
223,Shop Around,The Miracles,"became age, mother called side said, ""son, growing pretty soon take bride"" said become young man (man now, ooh) there's still thing understand (stand now, ooh) ask girl hand (hand now, ooh) keep freedom long mama told me, better shop around (shop, shop around, uh huh-huh-huh) woah yeah, better shop around (shop, shop around) oh, there's thing want know (uh huh, ooh) sure wind's gonna blow (uh huh, ooh) woman come woman gonna go (uh huh, ooh) tell 'em love 'em so, mama told me, better shop around (shop, shop around, uh huh-huh-huh) woah yeah, better shop around (shop, shop around) try get bargain, son sold first one (on first one, oh) now, pretty girl come dime dozen try find one who's gonna give true loving take girl say, ""i do"" (uh huh, ooh) make sure love you, (uh huh, ooh) mama told me, better shop around oh, hey-ey-hey-ey try get bargain, son sold first one (on first one, oh) pretty girl come dime dozen try find one who's gonna give true loving take girl say, ""i do"" (uh huh, ooh) make sure love (uh huh, ooh) make sure love true (uh huh, ooh) i'd hate see feeling sad blue (uh huh, ooh) mama told me, better shop around (shop, shop around, uh huh-huh-huh) uh huh, let first one get (shop, shop around, uh huh-huh-huh) oh no, 'cause wanna see (shop, shop around, uh huh-huh-huh) uh huh, let hold tight (shop, shop around, uh huh-huh-huh) oh, make sure alright (shop, shop around, uh huh-huh-huh) uh huh, let 'em take hand son (shop, shop around, uh huh-huh-huh) understand son, man son (shop, shop around, uh huh-huh-huh) know can, son, love (shop, shop around, uh huh-huh-huh) shop around, come on, come",2252
224,The Boll Weevil Song,Brook Benton,"let tell ya story boll weevil now, may know, boll weevil insect he's found mostly cotton grows now, come from, hmm, nobody really know way story go farmer said boll weevil ""i see square"" boll weevil said farmer ""say yep! whole darn family's here"" gotta home gotta home farmer said boll weevil ""say, why'd pick farm?"" weevil laughed farmer said said, ""we ain't gonna ya much harm"" ""we're looking home"" boll weevil spotted lightning bug said ""hey, i'd like make trade see, lightning bug i'd search whole night through"" searchin' home i'd plenty home boll weevil called farmer said ""you better sell old machine 'cause i'm cotton, heh can't even buy gasoline."" i'm gonna stake home gotta home boll weevil said farmer said, ""farmer, i'd like wish well."" farmer said boll weevil ""yeah, an' wish in..."" lookin' home lookin' home ahh, home, right home real hot home",1265
225,A Hundred Pounds of Clay,Gene McDaniels,"took hundred pound clay said, ""hey, listen"" ""i'm gonna fix this-a world today"" ""because know what's missin' "" rolled big sleeve brand new world began created woman lot lovin' man whoa-oh-oh, yes hundred pound clay made life worth livin' thank every day every kiss givin' i'll thank every night arm holdin' tight hundred pound clay yes did, whoa-oh, yes can'tcha see a-walkin' 'round 'round pickin' clay uppa ground? doin' make livin' dream like rolled big sleeve brand new world began created woman lot lovin' man whoa-oh-oh, yes hundred pound clay people, let tall ya hundred pound clay",938
226,The Mountain's High,Dick and Dee Dee,"yeah, yeah, yeah, yeah, yeah, yeah mountain's high valley’s deep can't get across side give up, baby, don’t cry give 'til reach side lonely, baby, sleep night took side lonely soul became goal saw spark love star fell above, oh yeah know someday meet know exactly but, baby, fate way we'll meet day mountain's high valley's deep can’t get across side don’t give up, baby, cry don’t give 'til reach side lonely, baby, sleep night took side ooh-ooh, ooh-ooh (hold tender) ooh-ooh, ooh-ooh (you remember) ooh, hoo (i know, know) ooh-ooh, ooh-ooh (i know, know) ooh-ooh, ooh-ooh",921
227,Don't Worry,Marty Robbins,"worry 'bout though may blue i'll manage somehow love can't explained can't controlled one day warm next day cold pity 'cause i'm feeling blue ashamed might oh, oh, oh, ohh, ohh, love kiss one time, go, love i'll understand worry 'bout sweet, sweet, sweet, love want happy love i'll never forget sweet memory worry bout one heart tell one heart one heart goodbye one heart free one heart cry oh, oh, oh, ohh, oh sweet sweet baby, sweet, baby sweet alright worry 'bout",670
229,Portrait of My Love,Steve Lawrence,"could never portrait love nobody could paint dream never see portrait love miracle never seen anyone see her, soon forgets mona lisa would take, know, michelangelo would need glow dawn paint sky try paint portrait love would take, know, michelangelo would need glow dawn paint sky try paint portrait love",466
230,Quarter to Three,Gary U.S. Bonds,"ah, know danced, danced 'til quarter three ah, help, last night, daddy g swingin sax girl two dancin' room oh, know people dancin' like mad swingin'est band had, ever heard swingin'est song could ever night daddy g ah, let tell never good yeah, know never could get hip jive take band like church street five know danced, danced 'til quarter three ah, help last night daddy g ev'rybody happy could swingin' daddy g, blow, daddy! ah, blow, blow, yeah yay, yay, yay, yay, yeah little bit soul ah, yeah let tell never good yeah, know never could get hip jive take band like church street five know danced, danced 'til quarter three ah, help last night daddy g ev'rybody happy could 'cause swingin' daddy g, ah blow, daddy! ah, blow, blow, daddy! yay, yay, yay, yay, yay, yeah oh, oh, yeah well, c'mon, c'mon blow, daddy! yeah c'mon, yeah, alright, yeah",1294
